,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
3024,104843,104843,"['Mg(Ni0.7Zn0.3)2-104843-Cagome_big.gph', 'Mg(Ni0.7Zn0.3)2-104843-Cagome_big_1.gph']",intermetallics_search_104843.cif
3025,104849,104849,"['MgPd3-104849-Cagome_big.gph', 'MgPd3-104849-Cagome_big_1.gph']",intermetallics_search_104849.cif
3026,104853,104853,['Mg2Pr-104853-Cagome_big.gph'],intermetallics_search_104853.cif
3027,104857,104857,"['Pt3Mg-104857-Cagome_big.gph', 'Pt3Mg-104857-Cagome_big_1.gph']",intermetallics_search_104857.cif
3028,104867,104867,['Mg2Sm-104867-Cagome_big.gph'],intermetallics_search_104867.cif
3029,104871,104871,"['(Mg0.976Sn0.024)-104871-Cagome_big.gph', '(Mg0.976Sn0.024)-104871-Cagome_big_1.gph', '(Mg0.976Sn0.024)-104871-Cagome_big_2.gph', '(Mg0.976Sn0.024)-104871-Cagome_big_3.gph']",intermetallics_search_104871.cif
3030,104881,104881,"['(Tb0.75Mg0.25)-104881-Cagome_big.gph', '(Tb0.75Mg0.25)-104881-Cagome_big_1.gph']",intermetallics_search_104881.cif
3031,104882,104882,"['Mg2Tb-104882-Cagome_big.gph', 'Mg2Tb-104882-Cagome_big_1.gph']",intermetallics_search_104882.cif
3032,104883,104883,['Mg2Th-104883-Cagome_big.gph'],intermetallics_search_104883.cif
3033,104887,104887,"['(Tm0.75Mg0.25)-104887-Cagome_big.gph', '(Tm0.75Mg0.25)-104887-Cagome_big_1.gph']",intermetallics_search_104887.cif
3034,104891,104891,"['Mg2Y-104891-Cagome_big.gph', 'Mg2Y-104891-Cagome_big_1.gph']",intermetallics_search_104891.cif
3035,104894,104894,['(Mg0.0405Yb0.9595)-104894-Cagome_big.gph'],intermetallics_search_104894.cif
3036,104895,104895,"['Mg2Yb-104895-Cagome_big.gph', 'Mg2Yb-104895-Cagome_big_1.gph']",intermetallics_search_104895.cif
3037,104896,104896,"['(Mg0.988Yb0.012)-104896-Cagome_big.gph', '(Mg0.988Yb0.012)-104896-Cagome_big_1.gph', '(Mg0.988Yb0.012)-104896-Cagome_big_2.gph', '(Mg0.988Yb0.012)-104896-Cagome_big_3.gph']",intermetallics_search_104896.cif
3038,104897,104897,"['MgZn2-104897-Cagome_big.gph', 'MgZn2-104897-Cagome_big_1.gph']",intermetallics_search_104897.cif
3039,104900,104900,"['(Mg0.97Zn0.03)-104900-Cagome_big.gph', '(Mg0.97Zn0.03)-104900-Cagome_big_1.gph', '(Mg0.97Zn0.03)-104900-Cagome_big_2.gph', '(Mg0.97Zn0.03)-104900-Cagome_big_3.gph']",intermetallics_search_104900.cif
3040,104902,104902,"['(Mg0.971Zn0.029)-104902-Cagome_big.gph', '(Mg0.971Zn0.029)-104902-Cagome_big_1.gph', '(Mg0.971Zn0.029)-104902-Cagome_big_2.gph', '(Mg0.971Zn0.029)-104902-Cagome_big_3.gph']",intermetallics_search_104902.cif
3041,104903,104903,"['(Mg0.996Zr0.004)-104903-Cagome_big.gph', '(Mg0.996Zr0.004)-104903-Cagome_big_1.gph', '(Mg0.996Zr0.004)-104903-Cagome_big_2.gph', '(Mg0.996Zr0.004)-104903-Cagome_big_3.gph']",intermetallics_search_104903.cif
3042,104906,104906,"['(Al0.7Fe0.3)2(Dy0.73Tb0.27)-104906-Cagome_big.gph', '(Al0.7Fe0.3)2(Dy0.73Tb0.27)-104906-Cagome_big_1.gph']",intermetallics_search_104906.cif
3043,104908,104908,"['La(AlCu4)-104908-Cagome_big.gph', 'La(AlCu4)-104908-Cagome_big_1.gph']",intermetallics_search_104908.cif
3044,104909,104909,"['La(Al2Cu3)-104909-Cagome_big.gph', 'La(Al2Cu3)-104909-Cagome_big_1.gph']",intermetallics_search_104909.cif
3045,104915,104915,"['(Mn2.7Ni2.3)Nd-104915-Cagome_big.gph', '(Mn2.7Ni2.3)Nd-104915-Cagome_big_1.gph']",intermetallics_search_104915.cif
3046,104918,104918,"['MnNi-104918-Cagome_big.gph', 'MnNi-104918-Cagome_big_1.gph', 'MnNi-104918-Cagome_big_2.gph', 'MnNi-104918-Cagome_big_3.gph']",intermetallics_search_104918.cif
3047,104919,104919,"['Mn1.05Ni0.95-104919-Cagome_big.gph', 'Mn1.05Ni0.95-104919-Cagome_big_1.gph', 'Mn1.05Ni0.95-104919-Cagome_big_2.gph', 'Mn1.05Ni0.95-104919-Cagome_big_3.gph']",intermetallics_search_104919.cif
3048,104920,104920,['MnNi3-104920-Cagome_big.gph'],intermetallics_search_104920.cif
3049,104922,104922,"['(MnNi4)Pr-104922-Cagome_big.gph', '(MnNi4)Pr-104922-Cagome_big_1.gph']",intermetallics_search_104922.cif
3050,104925,104925,"['(Mn2Ni3)Sm-104925-Cagome_big.gph', '(Mn2Ni3)Sm-104925-Cagome_big_1.gph']",intermetallics_search_104925.cif
3051,104932,104932,"['(Mn2Ni3)Th-104932-Cagome_big.gph', '(Mn2Ni3)Th-104932-Cagome_big_1.gph']",intermetallics_search_104932.cif
3052,104933,104933,"['(MnNi)Zr-104933-Cagome_big.gph', '(MnNi)Zr-104933-Cagome_big_1.gph']",intermetallics_search_104933.cif
3053,104934,104934,['Mn2Np-104934-Cagome_big.gph'],intermetallics_search_104934.cif
3054,104935,104935,['NpMn2-104935-Cagome_big.gph'],intermetallics_search_104935.cif
3055,104936,104936,['MnPbRh2-104936-Cagome_big.gph'],intermetallics_search_104936.cif
3056,104937,104937,['MnPbRh2-104937-Cagome_big.gph'],intermetallics_search_104937.cif
3057,104942,104942,"['MnPd3-104942-Cagome_big.gph', 'MnPd3-104942-Cagome_big_1.gph']",intermetallics_search_104942.cif
3058,104947,104947,['Mn4(PrTb)-104947-Cagome_big.gph'],intermetallics_search_104947.cif
3059,104950,104950,"['(Mn0.33Pt0.67)-104950-Cagome_big.gph', '(Mn0.33Pt0.67)-104950-Cagome_big_1.gph']",intermetallics_search_104950.cif
3060,104951,104951,['MnPt3-104951-Cagome_big.gph'],intermetallics_search_104951.cif
3061,104952,104952,"['(Mn0.38Pt0.62)-104952-Cagome_big.gph', '(Mn0.38Pt0.62)-104952-Cagome_big_1.gph']",intermetallics_search_104952.cif
3062,104953,104953,['Mn3Pt-104953-Cagome_big.gph'],intermetallics_search_104953.cif
3063,104954,104954,['Mn3(Pt0.5Rh0.5)-104954-Cagome_big.gph'],intermetallics_search_104954.cif
3064,104958,104958,['Mn2Pu-104958-Cagome_big.gph'],intermetallics_search_104958.cif
3065,104961,104961,['Mn3Rh-104961-Cagome_big.gph'],intermetallics_search_104961.cif
3066,104962,104962,['Mn3Rh-104962-Cagome_big.gph'],intermetallics_search_104962.cif
3067,104963,104963,"['(Mn0.3Rh0.7)-104963-Cagome_big.gph', '(Mn0.3Rh0.7)-104963-Cagome_big_1.gph']",intermetallics_search_104963.cif
3068,104967,104967,"['(MnRu)-104967-Cagome_big.gph', '(MnRu)-104967-Cagome_big_1.gph', '(MnRu)-104967-Cagome_big_2.gph', '(MnRu)-104967-Cagome_big_3.gph']",intermetallics_search_104967.cif
3069,104969,104969,['Mn2(Sc0.08Y0.92)-104969-Cagome_big.gph'],intermetallics_search_104969.cif
3070,104978,104978,"['Mn3Sn-104978-Cagome_big.gph', 'Mn3Sn-104978-Cagome_big_1.gph']",intermetallics_search_104978.cif
3071,104981,104981,"['(MnV3)Ta2-104981-Cagome_big.gph', '(MnV3)Ta2-104981-Cagome_big_1.gph']",intermetallics_search_104981.cif
3072,104982,104982,['Mn2Tb-104982-Cagome_big.gph'],intermetallics_search_104982.cif
3073,104983,104983,['Ni2Tb-104983-Cagome_big.gph'],intermetallics_search_104983.cif
3074,104984,104984,['Mn2Tb-104984-Cagome_big.gph'],intermetallics_search_104984.cif
3075,104985,104985,['Mn2(Tb0.6Y0.4)-104985-Cagome_big.gph'],intermetallics_search_104985.cif
3076,104988,104988,"['Mn2Ti-104988-Cagome_big.gph', 'Mn2Ti-104988-Cagome_big_1.gph']",intermetallics_search_104988.cif
3077,104989,104989,"['Mn2Ti-104989-Cagome_big.gph', 'Mn2Ti-104989-Cagome_big_1.gph']",intermetallics_search_104989.cif
3078,104990,104990,"['Mn3.6Ti2.4-104990-Cagome_big.gph', 'Mn3.6Ti2.4-104990-Cagome_big_1.gph']",intermetallics_search_104990.cif
3079,104991,104991,"['(Mn0.15Ti0.85)-104991-Cagome_big.gph', '(Mn0.15Ti0.85)-104991-Cagome_big_1.gph', '(Mn0.15Ti0.85)-104991-Cagome_big_2.gph', '(Mn0.15Ti0.85)-104991-Cagome_big_3.gph']",intermetallics_search_104991.cif
3080,104992,104992,"['(Mn1.2V0.8)Ti-104992-Cagome_big.gph', '(Mn1.2V0.8)Ti-104992-Cagome_big_1.gph', '(Mn1.2V0.8)Ti-104992-Cagome_big_2.gph', '(Mn1.2V0.8)Ti-104992-Cagome_big_3.gph']",intermetallics_search_104992.cif
3081,104993,104993,"['(Mn1.2V0.8)Ti-104993-Cagome_big.gph', '(Mn1.2V0.8)Ti-104993-Cagome_big_1.gph', '(Mn1.2V0.8)Ti-104993-Cagome_big_2.gph', '(Mn1.2V0.8)Ti-104993-Cagome_big_3.gph']",intermetallics_search_104993.cif
3082,104994,104994,"['Mn2Tm-104994-Cagome_big.gph', 'Mn2Tm-104994-Cagome_big_1.gph']",intermetallics_search_104994.cif
3083,104995,104995,['Mn2U-104995-Cagome_big.gph'],intermetallics_search_104995.cif
3084,104996,104996,['Mn2U-104996-Cagome_big.gph'],intermetallics_search_104996.cif
3085,104997,104997,"['Mn2U-104997-Cagome_big.gph', 'Mn2U-104997-Cagome_big_1.gph', 'Mn2U-104997-Cagome_big_2.gph', 'Mn2U-104997-Cagome_big_3.gph']",intermetallics_search_104997.cif
3086,104999,104999,"['(MnV)-104999-Cagome_big.gph', '(MnV)-104999-Cagome_big_1.gph', '(MnV)-104999-Cagome_big_2.gph', '(MnV)-104999-Cagome_big_3.gph']",intermetallics_search_104999.cif
3087,105000,105000,"['(Mn0.6V1.4)Zr-105000-Cagome_big.gph', '(Mn0.6V1.4)Zr-105000-Cagome_big_1.gph']",intermetallics_search_105000.cif
3088,105001,105001,['Mn2Y-105001-Cagome_big.gph'],intermetallics_search_105001.cif
3089,105002,105002,['Mn2Y-105002-Cagome_big.gph'],intermetallics_search_105002.cif
3090,105018,105018,"['(Mn0.52Zn0.48)-105018-Cagome_big.gph', '(Mn0.52Zn0.48)-105018-Cagome_big_1.gph', '(Mn0.52Zn0.48)-105018-Cagome_big_2.gph', '(Mn0.52Zn0.48)-105018-Cagome_big_3.gph']",intermetallics_search_105018.cif
3091,105019,105019,"['(Mn.275Zn.725)-105019-Cagome_big.gph', '(Mn.275Zn.725)-105019-Cagome_big_1.gph', '(Mn.275Zn.725)-105019-Cagome_big_2.gph', '(Mn.275Zn.725)-105019-Cagome_big_3.gph']",intermetallics_search_105019.cif
3092,105020,105020,['MnZn3-105020-Cagome_big.gph'],intermetallics_search_105020.cif
3093,105021,105021,"['(Mn0.27Zn0.73)-105021-Cagome_big.gph', '(Mn0.27Zn0.73)-105021-Cagome_big_1.gph']",intermetallics_search_105021.cif
3094,105022,105022,"['(Mn0.27Zn0.73)-105022-Cagome_big.gph', '(Mn0.27Zn0.73)-105022-Cagome_big_1.gph', '(Mn0.27Zn0.73)-105022-Cagome_big_2.gph', '(Mn0.27Zn0.73)-105022-Cagome_big_3.gph']",intermetallics_search_105022.cif
3095,105028,105028,"['Al9DyNi3-105028-Cagome_big.gph', 'Al9DyNi3-105028-Cagome_big_1.gph', 'Al9DyNi3-105028-Cagome_big_2.gph', 'Al9DyNi3-105028-Cagome_big_3.gph']",intermetallics_search_105028.cif
3096,105029,105029,['Al2(Dy0.83Y0.17)-105029-Cagome_big.gph'],intermetallics_search_105029.cif
3097,105035,105035,"['Al9YNi3-105035-Cagome_big.gph', 'Al9YNi3-105035-Cagome_big_1.gph', 'Al9YNi3-105035-Cagome_big_2.gph', 'Al9YNi3-105035-Cagome_big_3.gph']",intermetallics_search_105035.cif
3098,105036,105036,"['(MoNb)-105036-Cagome_big.gph', '(MoNb)-105036-Cagome_big_1.gph', '(MoNb)-105036-Cagome_big_2.gph', '(MoNb)-105036-Cagome_big_3.gph']",intermetallics_search_105036.cif
3099,105040,105040,"['(Mo0.1Nb0.45U0.45)-105040-Cagome_big.gph', '(Mo0.1Nb0.45U0.45)-105040-Cagome_big_1.gph', '(Mo0.1Nb0.45U0.45)-105040-Cagome_big_2.gph', '(Mo0.1Nb0.45U0.45)-105040-Cagome_big_3.gph', '(Mo0.1Nb0.45U0.45)-105040-Cagome_big_4.gph', '(Mo0.1Nb0.45U0.45)-105040-Cagome_big_5.gph']",intermetallics_search_105040.cif
3100,105041,105041,"['(Mo1.1Nb0.9)Zr-105041-Cagome_big.gph', '(Mo1.1Nb0.9)Zr-105041-Cagome_big_1.gph']",intermetallics_search_105041.cif
3101,105042,105042,"['(Mo0.4Nb0.4Zr0.2)-105042-Cagome_big.gph', '(Mo0.4Nb0.4Zr0.2)-105042-Cagome_big_1.gph', '(Mo0.4Nb0.4Zr0.2)-105042-Cagome_big_2.gph', '(Mo0.4Nb0.4Zr0.2)-105042-Cagome_big_3.gph', '(Mo0.4Nb0.4Zr0.2)-105042-Cagome_big_4.gph', '(Mo0.4Nb0.4Zr0.2)-105042-Cagome_big_5.gph']",intermetallics_search_105042.cif
3102,105043,105043,"['MoNi-105043-Cagome_big.gph', 'MoNi-105043-Cagome_big_1.gph', 'MoNi-105043-Cagome_big_2.gph', 'MoNi-105043-Cagome_big_3.gph']",intermetallics_search_105043.cif
3103,105045,105045,"['(Mo1.08Ni2.92)-105045-Cagome_big.gph', '(Mo1.08Ni2.92)-105045-Cagome_big_1.gph']",intermetallics_search_105045.cif
3104,105048,105048,"['(Mo0.09Ni0.91)-105048-Cagome_big.gph', '(Mo0.09Ni0.91)-105048-Cagome_big_1.gph']",intermetallics_search_105048.cif
3105,105049,105049,"['(Mo0.984Ni0.016)-105049-Cagome_big.gph', '(Mo0.984Ni0.016)-105049-Cagome_big_1.gph', '(Mo0.984Ni0.016)-105049-Cagome_big_2.gph', '(Mo0.984Ni0.016)-105049-Cagome_big_3.gph']",intermetallics_search_105049.cif
3106,105050,105050,"['(Mo0.125Ni0.75V0.125)-105050-Cagome_big.gph', '(Mo0.125Ni0.75V0.125)-105050-Cagome_big_1.gph', '(Mo0.125Ni0.75V0.125)-105050-Cagome_big_2.gph']",intermetallics_search_105050.cif
3107,105051,105051,['(Mo0.14Zr0.86)Ni2-105051-Cagome_big.gph'],intermetallics_search_105051.cif
3108,105053,105053,"['(Mo0.41Os0.59)-105053-Cagome_big.gph', '(Mo0.41Os0.59)-105053-Cagome_big_1.gph', '(Mo0.41Os0.59)-105053-Cagome_big_2.gph', '(Mo0.41Os0.59)-105053-Cagome_big_3.gph']",intermetallics_search_105053.cif
3109,105061,105061,"['(Mo0.466Pd0.534)-105061-Cagome_big.gph', '(Mo0.466Pd0.534)-105061-Cagome_big_1.gph', '(Mo0.466Pd0.534)-105061-Cagome_big_2.gph', '(Mo0.466Pd0.534)-105061-Cagome_big_3.gph']",intermetallics_search_105061.cif
3110,105062,105062,"['(Mo0.26Pd0.74)-105062-Cagome_big.gph', '(Mo0.26Pd0.74)-105062-Cagome_big_1.gph']",intermetallics_search_105062.cif
3111,105063,105063,"['(Mo0.4Pd0.6)-105063-Cagome_big.gph', '(Mo0.4Pd0.6)-105063-Cagome_big_1.gph']",intermetallics_search_105063.cif
3112,105064,105064,"['(Mo0.95Pd0.05)-105064-Cagome_big.gph', '(Mo0.95Pd0.05)-105064-Cagome_big_1.gph', '(Mo0.95Pd0.05)-105064-Cagome_big_2.gph', '(Mo0.95Pd0.05)-105064-Cagome_big_3.gph']",intermetallics_search_105064.cif
3113,105065,105065,"['(Mo0.4Pd0.35Rh0.25)-105065-Cagome_big.gph', '(Mo0.4Pd0.35Rh0.25)-105065-Cagome_big_1.gph', '(Mo0.4Pd0.35Rh0.25)-105065-Cagome_big_2.gph', '(Mo0.4Pd0.35Rh0.25)-105065-Cagome_big_3.gph', '(Mo0.4Pd0.35Rh0.25)-105065-Cagome_big_4.gph', '(Mo0.4Pd0.35Rh0.25)-105065-Cagome_big_5.gph']",intermetallics_search_105065.cif
3114,105066,105066,"['(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_1.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_2.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_3.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_4.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_5.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_6.gph', '(Mo0.25Pd0.25Rh0.25Ru0.25)-105066-Cagome_big_7.gph']",intermetallics_search_105066.cif
3115,105067,105067,"['(Mo0.25Pd0.4Ru0.35)-105067-Cagome_big.gph', '(Mo0.25Pd0.4Ru0.35)-105067-Cagome_big_1.gph', '(Mo0.25Pd0.4Ru0.35)-105067-Cagome_big_2.gph', '(Mo0.25Pd0.4Ru0.35)-105067-Cagome_big_3.gph', '(Mo0.25Pd0.4Ru0.35)-105067-Cagome_big_4.gph', '(Mo0.25Pd0.4Ru0.35)-105067-Cagome_big_5.gph']",intermetallics_search_105067.cif
3116,105068,105068,"['(Mo0.25Pd0.25Ru0.5)-105068-Cagome_big.gph', '(Mo0.25Pd0.25Ru0.5)-105068-Cagome_big_1.gph', '(Mo0.25Pd0.25Ru0.5)-105068-Cagome_big_2.gph', '(Mo0.25Pd0.25Ru0.5)-105068-Cagome_big_3.gph', '(Mo0.25Pd0.25Ru0.5)-105068-Cagome_big_4.gph', '(Mo0.25Pd0.25Ru0.5)-105068-Cagome_big_5.gph']",intermetallics_search_105068.cif
3117,105069,105069,"['(MoPt)-105069-Cagome_big.gph', '(MoPt)-105069-Cagome_big_1.gph', '(MoPt)-105069-Cagome_big_2.gph', '(MoPt)-105069-Cagome_big_3.gph']",intermetallics_search_105069.cif
3118,105072,105072,"['(Mo0.576Pt0.424)-105072-Cagome_big.gph', '(Mo0.576Pt0.424)-105072-Cagome_big_1.gph', '(Mo0.576Pt0.424)-105072-Cagome_big_2.gph', '(Mo0.576Pt0.424)-105072-Cagome_big_3.gph']",intermetallics_search_105072.cif
3119,105073,105073,"['(Mo0.576Pt0.424)-105073-Cagome_big.gph', '(Mo0.576Pt0.424)-105073-Cagome_big_1.gph', '(Mo0.576Pt0.424)-105073-Cagome_big_2.gph', '(Mo0.576Pt0.424)-105073-Cagome_big_3.gph']",intermetallics_search_105073.cif
3120,105075,105075,"['(Mo0.86Pt0.14)-105075-Cagome_big.gph', '(Mo0.86Pt0.14)-105075-Cagome_big_1.gph', '(Mo0.86Pt0.14)-105075-Cagome_big_2.gph', '(Mo0.86Pt0.14)-105075-Cagome_big_3.gph']",intermetallics_search_105075.cif
3121,105076,105076,"['(Mo0.2Pu0.1U0.7)-105076-Cagome_big.gph', '(Mo0.2Pu0.1U0.7)-105076-Cagome_big_1.gph', '(Mo0.2Pu0.1U0.7)-105076-Cagome_big_2.gph', '(Mo0.2Pu0.1U0.7)-105076-Cagome_big_3.gph', '(Mo0.2Pu0.1U0.7)-105076-Cagome_big_4.gph', '(Mo0.2Pu0.1U0.7)-105076-Cagome_big_5.gph']",intermetallics_search_105076.cif
3122,105077,105077,"['(Mo0.2Re0.8)-105077-Cagome_big.gph', '(Mo0.2Re0.8)-105077-Cagome_big_1.gph', '(Mo0.2Re0.8)-105077-Cagome_big_2.gph', '(Mo0.2Re0.8)-105077-Cagome_big_3.gph']",intermetallics_search_105077.cif
3123,105078,105078,"['(Mo.09Re.91)-105078-Cagome_big.gph', '(Mo.09Re.91)-105078-Cagome_big_1.gph', '(Mo.09Re.91)-105078-Cagome_big_2.gph', '(Mo.09Re.91)-105078-Cagome_big_3.gph']",intermetallics_search_105078.cif
3124,105079,105079,"['Mo0.75Re0.25-105079-Cagome_big.gph', 'Mo0.75Re0.25-105079-Cagome_big_1.gph']",intermetallics_search_105079.cif
3125,105080,105080,"['(Mo0.6Re0.4)-105080-Cagome_big.gph', '(Mo0.6Re0.4)-105080-Cagome_big_1.gph', '(Mo0.6Re0.4)-105080-Cagome_big_2.gph', '(Mo0.6Re0.4)-105080-Cagome_big_3.gph']",intermetallics_search_105080.cif
3126,105082,105082,"['(Mo0.33Re0.33V0.34)-105082-Cagome_big.gph', '(Mo0.33Re0.33V0.34)-105082-Cagome_big_1.gph', '(Mo0.33Re0.33V0.34)-105082-Cagome_big_2.gph', '(Mo0.33Re0.33V0.34)-105082-Cagome_big_3.gph', '(Mo0.33Re0.33V0.34)-105082-Cagome_big_4.gph', '(Mo0.33Re0.33V0.34)-105082-Cagome_big_5.gph']",intermetallics_search_105082.cif
3127,105083,105083,"['Mo0.52Rh0.48-105083-Cagome_big.gph', 'Mo0.52Rh0.48-105083-Cagome_big_1.gph', 'Mo0.52Rh0.48-105083-Cagome_big_2.gph', 'Mo0.52Rh0.48-105083-Cagome_big_3.gph']",intermetallics_search_105083.cif
3128,105084,105084,"['(Mo0.27Rh0.73)-105084-Cagome_big.gph', '(Mo0.27Rh0.73)-105084-Cagome_big_1.gph', '(Mo0.27Rh0.73)-105084-Cagome_big_2.gph', '(Mo0.27Rh0.73)-105084-Cagome_big_3.gph']",intermetallics_search_105084.cif
3129,105085,105085,['MoRh3-105085-Cagome_big.gph'],intermetallics_search_105085.cif
3130,105086,105086,"['(Mo0.054Rh0.946)-105086-Cagome_big.gph', '(Mo0.054Rh0.946)-105086-Cagome_big_1.gph']",intermetallics_search_105086.cif
3131,105087,105087,"['(Mo0.85Rh0.15)-105087-Cagome_big.gph', '(Mo0.85Rh0.15)-105087-Cagome_big_1.gph', '(Mo0.85Rh0.15)-105087-Cagome_big_2.gph', '(Mo0.85Rh0.15)-105087-Cagome_big_3.gph']",intermetallics_search_105087.cif
3132,105088,105088,"['(Mo0.3Rh0.4Ru0.3)-105088-Cagome_big.gph', '(Mo0.3Rh0.4Ru0.3)-105088-Cagome_big_1.gph', '(Mo0.3Rh0.4Ru0.3)-105088-Cagome_big_2.gph', '(Mo0.3Rh0.4Ru0.3)-105088-Cagome_big_3.gph', '(Mo0.3Rh0.4Ru0.3)-105088-Cagome_big_4.gph', '(Mo0.3Rh0.4Ru0.3)-105088-Cagome_big_5.gph']",intermetallics_search_105088.cif
3133,105089,105089,"['(Mo0.31Ru0.69)-105089-Cagome_big.gph', '(Mo0.31Ru0.69)-105089-Cagome_big_1.gph', '(Mo0.31Ru0.69)-105089-Cagome_big_2.gph', '(Mo0.31Ru0.69)-105089-Cagome_big_3.gph']",intermetallics_search_105089.cif
3134,105090,105090,"['Mo0.8132Ru0.1868-105090-Cagome_big.gph', 'Mo0.8132Ru0.1868-105090-Cagome_big_1.gph', 'Mo0.8132Ru0.1868-105090-Cagome_big_2.gph', 'Mo0.8132Ru0.1868-105090-Cagome_big_3.gph']",intermetallics_search_105090.cif
3135,105095,105095,"['(Mo0.46Ta0.54)-105095-Cagome_big.gph', '(Mo0.46Ta0.54)-105095-Cagome_big_1.gph', '(Mo0.46Ta0.54)-105095-Cagome_big_2.gph', '(Mo0.46Ta0.54)-105095-Cagome_big_3.gph']",intermetallics_search_105095.cif
3136,105096,105096,"['MoTa-105096-Cagome_big.gph', 'MoTa-105096-Cagome_big_1.gph', 'MoTa-105096-Cagome_big_2.gph', 'MoTa-105096-Cagome_big_3.gph']",intermetallics_search_105096.cif
3137,105097,105097,"['(Mo0.33Ta0.33W0.34)-105097-Cagome_big.gph', '(Mo0.33Ta0.33W0.34)-105097-Cagome_big_1.gph', '(Mo0.33Ta0.33W0.34)-105097-Cagome_big_2.gph', '(Mo0.33Ta0.33W0.34)-105097-Cagome_big_3.gph', '(Mo0.33Ta0.33W0.34)-105097-Cagome_big_4.gph', '(Mo0.33Ta0.33W0.34)-105097-Cagome_big_5.gph']",intermetallics_search_105097.cif
3138,105099,105099,"['(MoTc)-105099-Cagome_big.gph', '(MoTc)-105099-Cagome_big_1.gph', '(MoTc)-105099-Cagome_big_2.gph', '(MoTc)-105099-Cagome_big_3.gph']",intermetallics_search_105099.cif
3139,105100,105100,"['Mo0.18Tc0.82-105100-Cagome_big.gph', 'Mo0.18Tc0.82-105100-Cagome_big_1.gph', 'Mo0.18Tc0.82-105100-Cagome_big_2.gph', 'Mo0.18Tc0.82-105100-Cagome_big_3.gph']",intermetallics_search_105100.cif
3140,105103,105103,"['(MoTi)-105103-Cagome_big.gph', '(MoTi)-105103-Cagome_big_1.gph', '(MoTi)-105103-Cagome_big_2.gph', '(MoTi)-105103-Cagome_big_3.gph']",intermetallics_search_105103.cif
